hyperparameter,source_config,destination_config,weight_sum,effective_sample_size,complexity.dist_spec_init_fft,complexity.fro_dist,complexity.fro_over_spec_fft,complexity.inverse_margin,complexity.log_prod_of_fro,complexity.log_prod_of_fro_over_margin,complexity.log_prod_of_spec_fft,complexity.log_prod_of_spec_over_margin_fft,complexity.log_spec_init_main_fft,complexity.log_spec_orig_main_fft,complexity.log_sum_of_fro,complexity.log_sum_of_fro_over_margin,complexity.log_sum_of_spec_fft,complexity.log_sum_of_spec_over_margin_fft,complexity.pacbayes_flatness,complexity.pacbayes_init,complexity.pacbayes_mag_flatness,complexity.pacbayes_mag_init,complexity.pacbayes_mag_orig,complexity.pacbayes_orig,complexity.param_norm,complexity.params,complexity.path_norm,complexity.path_norm_over_margin
hp.lr,-2767897993245568833,-2294707329991673686,26.39109216607076,68.49852669201039,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9561925372751909,0.0,0.0,1.0,1.0,0.0,0.0,0.0022559336399314628,0.9145062522437746,0.0,0.0,0.0,0.5,0.0,0.0
hp.lr,-2294707329991673686,6355434443955710773,3.3182956164525663,15.615502346860103,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.054293233778233294,0.859217600785766,0.0,0.0,0.0,0.5,0.0,0.0
hp.lr,6355434443955710773,-2294707329991673686,3.3182956164525663,15.615502346860103,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.054293233778233294,0.859217600785766,0.0,0.0,0.0,0.5,0.0,0.0
hp.lr,-2767897993245568833,-409958204683343694,16.751368322929387,47.71868694610059,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1695934815432666,0.06759622991599751,0.0,0.0,0.0,0.5,0.0,0.0
hp.lr,-409958204683343694,-2767897993245568833,16.751368322929387,47.71868694610059,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1695934815432666,0.06759622991599751,0.0,0.0,0.0,0.5,0.0,0.0
hp.lr,-2767897993245568833,-905359750747348373,8.300393104021627,29.294005696995686,0.9884374330944667,0.0,0.0,1.0,0.0,0.0,0.18664298167625,0.34916616982298654,0.08738626763256803,0.06969424197029324,0.0,0.0,0.18664298167625,0.34916616982298654,0.0,0.0,0.0,0.8471126093342177,0.0,0.0,0.0,0.5,0.0,0.0
hp.lr,-905359750747348373,-2767897993245568833,8.300393104021627,29.294005696995686,0.9884374330944667,0.0,0.0,1.0,0.0,0.0,0.18664298167625,0.34916616982298654,0.08738626763256803,0.06969424197029324,0.0,0.0,0.18664298167625,0.34916616982298654,0.0,0.0,0.0,0.8471126093342177,0.0,0.0,0.0,0.5,0.0,0.0
hp.lr,-2699018493350324149,-271263953100951694,49.9812241510568,99.99994240531854,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.07002087827856977,0.029994710398187366,0.9099935934584509,0.7499926238395912,0.0,1.0,0.5,0.0,0.0
hp.lr,-271263953100951694,-2699018493350324149,49.9812241510568,99.99994240531854,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.07002087827856977,0.029994710398187366,0.9099935934584509,0.7499926238395912,0.0,1.0,0.5,0.0,0.0
hp.lr,-2699018493350324149,2338361909453894883,47.50906442797365,98.98957552477488,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.05176468290708467,0.1201642473450527,0.7491994946110393,0.6154472295076463,0.0,1.0,0.5,0.0,0.0
hp.lr,2338361909453894883,-2699018493350324149,47.50906442797365,98.98957552477488,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.05176468290708467,0.1201642473450527,0.7491994946110393,0.6154472295076463,0.0,1.0,0.5,0.0,0.0
hp.lr,-2699018493350324149,882770762567104708,6.2780103984596085,24.53842949411443,0.7629852125479201,0.6067629715453685,0.0,1.0,0.0,0.0,0.9696868768734084,0.9696868768734084,0.9408269941070705,0.8997637251379331,0.0,0.0,0.9696868768734084,0.9696868768734084,0.0626432169936832,0.27776166870450336,0.30409867332465745,0.482987433743354,0.4739282640537793,0.22212066459317223,0.5025282097121958,0.5,0.0,0.0
